City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,60,20,12.66,few clouds
80,Barrow,US,71.2906,-156.7887,12.22,79,20,12.66,few clouds
81,Boa Vista,BR,2.8197,-60.6733,91.38,49,75,9.22,broken clouds
82,Vaini,TO,-21.2,-175.2,73.56,94,40,4.61,scattered clouds
83,Saint-Philippe,RE,-21.3585,55.7679,74.79,79,47,8.68,scattered clouds
84,Tual,ID,-5.6667,132.75,83.48,73,94,3.87,overcast clouds
85,Carnarvon,AU,-24.8667,113.6333,64.47,72,0,20.71,clear sky
86,Bambous Virieux,MU,-20.3428,57.7575,76.21,83,40,11.5,scattered clouds
87,Meulaboh,ID,4.1363,96.1285,75.36,94,100,4.88,moderate rain
88,Kavaratti,IN,10.5669,72.642,82.17,73,6,12.71,clear sky
89,Verkh-Usugli,RU,52.7,115.1667,10.72,84,22,3.47,few clouds
90,Springdale,US,36.1867,-94.1288,58.26,57,1,5.99,clear sky
91,Kathmandu,NP,27.7167,85.3167,55.62,94,40,2.3,scattered clouds
92,Atuona,PF,-9.8,-139.0333,77.99,75,39,16.87,scattered clouds
93,Channel-Port Aux Basques,CA,47.5702,-59.1367,44.46,64,88,20.87,overcast clouds
94,Petauke,ZM,-14.2426,31.3253,87.67,19,37,4.99,scattered clouds
95,Vostok,RU,46.4856,135.8833,16.7,88,100,3.29,overcast clouds
96,Qaanaaq,GL,77.484,-69.3632,8.22,72,99,7.92,overcast clouds
97,Provideniya,RU,64.3833,-173.3,7.88,81,6,6.49,clear sky
98,Lebu,CL,-37.6167,-73.65,58.39,76,44,12.06,scattered clouds
99,Atambua,ID,-9.1061,124.8925,77.04,83,55,2.3,broken clouds
100,Port Hardy,CA,50.6996,-127.4199,41.0,100,75,3.44,broken clouds
101,Hamilton,US,39.1834,-84.5333,57.07,47,1,1.01,clear sky
102,Skegness,GB,53.1436,0.3363,54.37,79,100,24.23,overcast clouds
103,Chernyshevskiy,RU,63.0128,112.4714,6.53,98,97,4.21,overcast clouds
104,Ust-Kuyga,RU,70.0167,135.6,-2.22,97,100,5.84,overcast clouds
105,Byron Bay,AU,-28.65,153.6167,66.15,89,92,6.98,overcast clouds
106,Lavrentiya,RU,65.5833,-171.0,3.67,81,29,8.34,scattered clouds
107,Taywarah,AF,33.35,64.4167,38.34,63,73,3.49,broken clouds
108,Garissa,KE,-0.4536,39.6401,89.15,39,19,20.58,few clouds
109,Fomboni,KM,-12.28,43.7425,81.27,76,43,7.25,scattered clouds
110,Hasaki,JP,35.7333,140.8333,54.0,62,100,9.35,light rain
111,Dicabisagan,PH,17.0818,122.4157,78.15,90,16,0.92,few clouds
112,Joshimath,IN,30.5667,79.5667,49.57,37,52,7.07,broken clouds
113,Dunedin,NZ,-45.8742,170.5036,52.81,83,88,5.99,overcast clouds
114,Waipawa,NZ,-41.4122,175.5153,54.03,98,100,2.75,overcast clouds
115,Bengkulu,ID,-3.8004,102.2655,76.23,92,98,9.31,overcast clouds
116,Lazaro Cardenas,MX,17.9583,-102.2,82.92,69,96,2.21,overcast clouds
117,Lompoc,US,34.6391,-120.4579,62.1,88,90,0.0,mist
118,Lebork,PL,54.5392,17.7501,48.92,89,100,14.23,overcast clouds
119,Pout,SN,14.7739,-17.0603,90.36,45,0,16.11,clear sky
120,Russell,US,32.3502,-85.1999,58.96,36,1,9.22,clear sky
121,Punta Arenas,CL,-53.15,-70.9167,53.71,62,90,14.97,light intensity shower rain
122,Surt,LY,31.2089,16.5887,79.3,41,62,14.76,broken clouds
123,Caravelas,BR,-17.7125,-39.2481,80.38,62,82,9.48,broken clouds
124,Desterro,BR,-7.2906,-37.0939,94.15,26,70,5.37,broken clouds
125,La Victoria,VE,10.2184,-67.3302,85.14,42,28,5.46,scattered clouds
126,Ribeira Grande,PT,38.5167,-28.7,72.0,83,40,23.02,scattered clouds
127,Muros,ES,42.7762,-9.0603,62.24,67,7,10.56,clear sky
128,Chara,RU,56.9064,118.2631,3.31,80,100,2.1,overcast clouds
129,Puerto Ayora,EC,-0.7393,-90.3518,78.76,70,70,10.94,broken clouds
130,Sainte-Anne-Des-Monts,CA,49.124,-66.4924,46.27,71,47,28.77,scattered clouds
131,Simontornya,HU,46.7546,18.5549,49.03,64,100,1.5,overcast clouds
132,Aykhal,RU,66.0,111.5,-10.57,100,91,6.31,overcast clouds
133,Cabo San Lucas,MX,22.8909,-109.9124,87.51,53,58,1.66,broken clouds
134,Amahai,ID,-3.3333,128.9167,79.23,84,88,4.05,overcast clouds
135,Chuy,UY,-33.6971,-53.4616,66.81,53,97,14.43,overcast clouds
136,Lumby,CA,50.2498,-118.969,42.57,85,100,4.61,overcast clouds
137,Half Moon Bay,US,37.4636,-122.4286,61.21,86,1,6.91,clear sky
138,Kruisfontein,ZA,-34.0033,24.7314,61.88,69,96,4.52,overcast clouds
139,Portobelo,PA,9.55,-79.65,88.07,76,90,2.59,overcast clouds
140,Gueugnon,FR,46.6036,4.0629,44.55,82,7,3.24,clear sky
141,Alamogordo,US,32.8995,-105.9603,78.57,27,1,4.0,clear sky
142,San Roque,ES,36.2107,-5.3842,59.83,48,20,2.3,few clouds
143,Zapolyarnyy,RU,69.4154,30.8136,31.28,94,100,20.78,overcast clouds
144,Magdagachi,RU,53.45,125.8,13.14,42,13,3.76,few clouds
145,Faanui,PF,-16.4833,-151.75,79.9,69,19,5.06,few clouds
146,Tuatapere,NZ,-46.1333,167.6833,49.82,93,66,1.14,broken clouds
147,Smithers,CA,54.7804,-127.1743,30.52,86,20,2.3,few clouds
148,Alenquer,BR,-1.9417,-54.7383,88.14,49,96,0.65,overcast clouds
149,Zhigalovo,RU,54.8097,105.1578,19.83,94,99,4.59,light snow
150,Dubbo,AU,-32.25,148.6167,62.73,82,66,5.75,moderate rain
151,Missouri City,US,29.6186,-95.5377,66.94,61,1,5.01,clear sky
152,Solano,US,38.2333,-121.9511,59.92,81,20,5.75,few clouds
153,Dukat,RU,62.55,155.55,13.87,92,99,7.27,overcast clouds
154,Kaitangata,NZ,-46.2817,169.8464,48.92,81,81,3.27,broken clouds
155,Tommot,RU,58.9564,126.2925,14.74,90,100,8.95,overcast clouds
156,Caborca,MX,30.5838,-111.101,79.39,19,0,1.86,clear sky
157,Davidson,US,36.1501,-86.7833,59.68,60,20,4.0,few clouds
158,Aberystwyth,GB,52.4155,-4.0829,56.3,96,86,26.96,overcast clouds
159,Neiba,DO,18.5,-71.4167,88.38,46,20,11.05,few clouds
160,Yichang,CN,30.7144,111.2847,61.7,93,100,4.21,light rain
161,Neiafu,TO,-18.65,-173.9833,77.68,83,75,5.75,broken clouds
162,Saint-Joseph,RE,-21.3667,55.6167,73.78,78,35,9.57,scattered clouds
163,Mount Gambier,AU,-37.8333,140.7667,51.71,82,90,3.44,overcast clouds
164,Pujili,EC,-0.95,-78.6833,61.48,59,40,12.66,light rain
165,Mehamn,NO,71.0357,27.8492,35.78,62,100,17.9,overcast clouds
166,Taunsa,PK,30.7048,70.6505,70.16,35,1,0.38,clear sky
167,Akrini,GR,40.4333,21.9,57.09,82,98,3.44,overcast clouds
168,Jedrzejow,PL,50.6394,20.3045,46.36,67,7,3.0,clear sky
169,Seoul,KR,37.5683,126.9778,53.04,87,1,1.14,clear sky
170,Mountain Home,US,43.133,-115.6912,51.12,93,20,0.0,few clouds
171,Maxixe,MZ,-23.8597,35.3472,76.82,88,40,10.36,scattered clouds
172,Saint George,US,37.1041,-113.5841,75.67,39,1,1.01,clear sky
173,Kapaa,US,22.0752,-159.319,75.52,81,20,13.8,light rain
174,Columbus,US,39.9612,-82.9988,55.99,44,1,3.44,clear sky
175,Ilulissat,GL,69.2167,-51.1,19.42,49,75,13.8,broken clouds
176,Upernavik,GL,72.7868,-56.1549,12.87,81,11,9.28,few clouds
177,Kutum,SD,14.2,24.6667,79.43,21,3,9.33,clear sky
178,Kodiak,US,57.79,-152.4072,33.31,60,40,11.5,scattered clouds
179,Vaitape,PF,-16.5167,-151.75,79.86,69,20,5.08,few clouds
180,Ponta Delgada,PT,37.7333,-25.6667,70.52,78,20,18.41,few clouds
181,Hegra,NO,63.4644,11.114,38.41,93,75,5.75,broken clouds
182,Ogbomosho,NG,8.133,4.25,84.33,57,77,2.71,broken clouds
183,Drayton Valley,CA,53.2168,-114.9854,33.91,50,0,6.17,clear sky
184,Tselinnoye,RU,53.0833,85.6667,21.0,85,100,7.74,overcast clouds
185,Ostrovnoy,RU,68.0531,39.5131,35.35,100,100,14.07,overcast clouds
186,Tokmak,UA,47.2514,35.7058,56.86,82,100,12.3,overcast clouds
187,Saskylakh,RU,71.9167,114.0833,7.54,90,100,15.3,overcast clouds
188,Yumen,CN,40.2833,97.2,13.78,37,0,10.07,clear sky
